# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"seal","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"pup","1":"cow","2":"bull"},"default_option_id":"1"}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_CzcED2P6","[""4MSL0089---104.png""]",0,"[]","[2,226.862,2.257,80.7,63.206]","{""1"":""1""}"
"1_94eXr8IB","[""4MSL0089---104.png""]",0,"[]","[2,391.648,116.253,101.58,41.196]","{""1"":""1""}"
"1_Q1tjX8UH","[""4MSL0089---104.png""]",0,"[]","[2,347.63,237.02,110.609,60.384]","{""1"":""1""}"
"1_1XuSQoWu","[""4MSL0089---104.png""]",0,"[]","[2,202.032,161.964,106.094,53.047]","{""1"":""1""}"
"1_s4ODnzpP","[""4MSL0089---104.png""]",0,"[]","[2,75.621,93.679,54.74,110.61]","{""1"":""1""}"
"1_uaSeyHsF","[""4MSL0089---104.png""]",0,"[]","[2,152.37,238.149,48.533,107.223]","{""1"":""1""}"
"1_JPMTHlwe","[""4MSL0089---104.png""]",0,"[]","[2,246.614,323.928,84.65,65.463]","{""1"":""1""}"
"1_be6X302z","[""4MSL0089---104.png""]",0,"[]","[2,293.454,394.47,64.334,91.986]","{""1"":""1""}"
"1_nvl6EWiU","[""4MSL0089---104.png""]",0,"[]","[2,395.034,152.935,33.296,37.81]","{""1"":""0""}"
"1_8ldbSO25","[""4MSL0089---104.png""]",0,"[]","[2,417.607,221.783,37.811,50.226]","{""1"":""0""}"
"1_QDMNrbvg","[""4MSL0089---104.png""]",0,"[]","[2,294.018,170.429,20.88,47.404]","{""1"":""0""}"
"1_af9Udq5F","[""4MSL0089---104.png""]",0,"[]","[2,204.853,224.605,27.088,50.226]","{""1"":""0""}"
"1_kekGXJzr","[""4MSL0089---104.png""]",0,"[]","[2,53.612,163.093,18.623,51.354]","{""1"":""0""}"
"1_Kmj7P6Gf","[""4MSL0089---104.png""]",0,"[]","[2,281.603,37.246,50.79,24.266]","{""1"":""0""}"
"1_r7PrI9hq","[""4MSL0089---104.png""]",0,"[]","[2,325.621,348.194,47.404,33.86]","{""1"":""0""}"
"1_MetM0j7E","[""4MSL0089---104.png""]",0,"[]","[2,216.14,380.361,56.433,25.395]","{""1"":""0""}"
"1_iuMghUul","[""4MSL0089---104.png""]",0,"[]","[2,333.521,451.467,18.623,47.969]","{""1"":""0""}"
"2_c9aXWBeU","[""4MSL0094---138.png""]",0,"[]","[2,331.264,84.086,44.018,18.623]","{""1"":""0""}"
"2_IEuPhZTu","[""4MSL0094---138.png""]",0,"[]","[2,263.544,112.302,34.424,15.238]","{""1"":""0""}"
"2_KPPUny3o","[""4MSL0094---138.png""]",0,"[]","[2,240.406,126.411,40.632,14.108]","{""1"":""0""}"
"2_gII3EOQD","[""4MSL0094---138.png""]",0,"[]","[2,239.278,183.973,16.365,31.603]","{""1"":""0""}"
"2_iG0sNOSN","[""4MSL0094---138.png""]",0,"[]","[2,361.174,365.688,27.088,12.98]","{""1"":""0""}"
"2_GyplOSw7","[""4MSL0094---138.png""]",0,"[]","[2,378.668,350.451,28.781,19.752]","{""1"":""0""}"
"2_2NQ33Uux","[""4MSL0094---138.png""]",0,"[]","[2,260.158,79.571,18.059,26.524]","{""1"":""0""}"
"2_xzNIeEKC","[""4MSL0094---138.png""]",0,"[]","[2,128.668,34.989,38.375,16.365]","{""1"":""0""}"
"2_hXjFgJm1","[""4MSL0094---138.png""]",0,"[]","[2,94.808,2.822,13.544,36.117]","{""1"":""0""}"
"2_oU9pIQSg","[""4MSL0094---138.png""]",0,"[]","[2,224.041,51.919,14.672,29.909]","{""1"":""0""}"
"2_W6WjwIrH","[""4MSL0094---138.png""]",0,"[]","[2,278.217,243.792,18.058,33.296]","{""1"":""0""}"
"2_elRVhb3S","[""4MSL0094---138.png""]",0,"[]","[2,273.138,228.555,33.86,17.495]","{""1"":""0""}"
"2_3IHy5DvU","[""4MSL0094---138.png""]",0,"[]","[2,272.573,217.833,31.603,14.108]","{""1"":""0""}"
"2_V5MuzXAp","[""4MSL0094---138.png""]",0,"[]","[2,376.411,322.235,20.316,33.295]","{""1"":""0""}"
"2_colrtIZO","[""4MSL0094---138.png""]",0,"[]","[2,273.702,91.986,23.702,23.702]","{""1"":""0""}"
"2_7KGIqJht","[""4MSL0094---138.png""]",0,"[]","[2,121.332,51.919,58.691,14.672]","{""1"":""1""}"
"2_4IT7dxIg","[""4MSL0094---138.png""]",0,"[]","[2,164.786,53.612,42.325,44.582]","{""1"":""1""}"
"2_RgGeoMAr","[""4MSL0094---138.png""]",0,"[]","[2,121.896,68.284,42.89,33.296]","{""1"":""1""}"
"2_MaqOpzgQ","[""4MSL0094---138.png""]",0,"[]","[2,133.747,98.194,28.217,60.384]","{""1"":""1""}"
"2_ZNZuZFmG","[""4MSL0094---138.png""]",0,"[]","[2,213.318,15.237,22.009,50.79]","{""1"":""1""}"
"2_stbR6FG7","[""4MSL0094---138.png""]",0,"[]","[2,237.02,23.702,25.395,56.433]","{""1"":""1""}"
"2_pyBQlHSd","[""4MSL0094---138.png""]",0,"[]","[2,251.693,48.533,34.424,38.374]","{""1"":""1""}"
"2_qEmqI8H5","[""4MSL0094---138.png""]",0,"[]","[2,339.165,58.126,55.869,26.524]","{""1"":""1""}"
"2_EKwGwn0W","[""4MSL0094---138.png""]",0,"[]","[2,255.079,78.442,49.661,43.454]","{""1"":""1""}"
"2_UCI5UbX6","[""4MSL0094---138.png""]",0,"[]","[2,291.761,85.214,23.137,42.326]","{""1"":""1""}"
"2_u25dXqhe","[""4MSL0094---138.png""]",0,"[]","[2,293.454,177.765,28.216,46.84]","{""1"":""1""}"
