# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"seal","anchor_id":"FILE1_Z1_XY1","type":4,"desc":"","options":{"0":"pup","1":"cow","2":"bull"},"default_option_id":"0"}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_NczffBPe","[""4MSL0119---68.png""]",0,"[]","[2,386.949,363.051,57.904,24.817]","{""1"":""0""}"
"1_ZYVC3Vft","[""4MSL0119---68.png""]",0,"[]","[2,410.846,254.596,23.897,55.14665]","{""1"":""0""}"
"1_wUFQTzkd","[""4MSL0119---68.png""]",0,"[]","[2,378.676,37.684,22.059,55.147]","{""1"":""0""}"
"1_xT9RzLsL","[""4MSL0119---68.png""]",0,"[]","[2,261.949,95.588,31.25,44.118]","{""1"":""0""}"
"1_WdXwpjxM","[""4MSL0119---68.png""]",0,"[]","[2,198.529,115.809,43.199,42.279]","{""1"":""0""}"
"1_17XSED1C","[""4MSL0119---68.png""]",0,"[]","[2,159.926,288.603,51.471,29.412]","{""1"":""0""}"
"1_XpReipd2","[""4MSL0119---68.png""]",0,"[]","[2,2.75765,283.088,36.764,25.736]","{""1"":""0""}"
"1_aKyVXIX5","[""4MSL0119---68.png""]",0,"[]","[2,77.206,211.397,70.772,77.206]","{""1"":""1""}"
"1_G4X5iUXG","[""4MSL0119---68.png""]",0,"[]","[2,21.14,107.537,54.228,113.051]","{""1"":""1""}"
"1_qoFltWKu","[""4MSL0119---68.png""]",0,"[]","[2,55.147,295.956,121.324,51.47]","{""1"":""1""}"
"1_S1JqZ3Xa","[""4MSL0119---68.png""]",0,"[]","[2,171.875,125,55.147,120.404]","{""1"":""1""}"
"1_1f5H385Q","[""4MSL0119---68.png""]",0,"[]","[2,229.779,60.662,63.42,88.235]","{""1"":""1""}"
"1_5eXvCSuC","[""4MSL0119---68.png""]",0,"[]","[2,348.346,60.662,77.205,97.426]","{""1"":""1""}"
"1_a9S4MYkO","[""4MSL0119---68.png""]",0,"[]","[2,344.669,224.265,75.368,79.963]","{""1"":""1""}"
"1_k05mRzwe","[""4MSL0119---68.png""]",0,"[]","[2,335.478,324.449,90.073,79.044]","{""1"":""1""}"
"2_QD63IQqq","[""5MSL0009---142.png""]",0,"[]","[2,73.529,398.897,56.986,34.007]","{""1"":""0""}"
"2_9Q1doZHd","[""5MSL0009---142.png""]",0,"[]","[2,174.632,432.904,57.905,36.765]","{""1"":""0""}"
"2_ikwpdp4u","[""5MSL0009---142.png""]",0,"[]","[2,186.581,407.169,56.066,27.574]","{""1"":""0""}"
"2_aL74WPSX","[""5MSL0009---142.png""]",0,"[]","[2,295.037,426.471,42.279,54.228]","{""1"":""0""}"
"2_Mo5s0hh0","[""5MSL0009---142.png""]",0,"[]","[2,272.059,340.993,41.36,48.713]","{""1"":""0""}"
"2_GAfXHQs1","[""5MSL0009---142.png""]",0,"[]","[2,260.11,284.007,29.412,60.662]","{""1"":""0""}"
